ID,Título,Descripción sugerida
"1200","Jóvenes puertorriqueños rumbo a Madrid","Descubre cómo estudiantes puertorriqueños están representando a su país en el Mars Challenge rumbo a Madrid. Innovación y talento joven hacia Marte."
"1197","Reto Marte en Costa Rica","Más de 150 universitarios costarricenses resuelven retos sobre el agua en Marte. Conoce cómo se desarrolló el Mars Challenge en Costa Rica."
"1193","Final Reto Marte 2024 — Madrid","Estudiantes de 6 países presentan soluciones para la gestión del agua en Marte y en la Tierra. Resultados de la final del Mars Challenge 2024 en Madrid."
"10","Inicio","¿Y si imaginar la vida en Marte nos ayudara a salvar el planeta Tierra? Conoce el Mars Challenge 2026, la llamada global para jóvenes innovadores."
"1521","Registro","Regístrate en el Mars Challenge 2026. Tu misión: prototipar la supervivencia humana en Marte y en la Tierra. Únete al reto global más importante."
"27","Mars Challenge","Conoce la historia del Mars Challenge, la iniciativa global que busca soluciones innovadoras para la vida en Marte y la Tierra. Participa en el cambio."
"37","Cómo participar","Descubre cómo participar en el Mars Challenge 2026. Tu misión: prototipar la supervivencia humana en Marte y en la Tierra. ¡Únete al reto!"
"2883","Fuego","Reto Marte 2025: Fuego - Soluciones innovadoras para la gestión de energía y recursos en condiciones extremas. ¿Tienes lo que se necesita?"
"57","Fases del reto","Conoce las fases del Mars Challenge: del registro a la acción, del prototipo al impacto real. Sigue la estructura que guía a los participantes al éxito."
"39","Convocatoria actual — 2026 Tierra","Mars Challenge 2026: Imagina la Tierra como un Marte en formación. Evita que llegue ese día. Participa en el reto que transformará el futuro del planeta."
